drop_ratio,edge_util_std,frac_hot_switches,frac_saturated_edges,jain_fairness,max_edge_util,mean_edge_util,mean_hops,mean_latency,mean_switch_util,offered_load,p50_flow_rate,p95_flow_rate,p95_switch_util,policy,rate,sum_edge_cap,sum_edge_load,switch_util_gini,switch_util_std,throughput,topk_edge_load_share,topology,traffic_weighted_util,workload
0.8139,1.8221,0.7012,0.174,0.4854,20.8408,0.5747,2.5495,3.5495,1.4989,6631410.9957,0.8656,5.2259,2.9185,rip_configuration,40,40960000.0,23540553.2518,0.316,0.8341,1234042.7982,0.0027,informed_leaf_spine,0.5747,local_group_workload
0.6625,0.9111,0.3662,0.0902,0.512,10.4204,0.2874,2.5495,3.5495,0.7494,3315705.4979,0.8602,4.6927,1.4592,ospf_configuration,20,40960000.0,11770276.6259,0.316,0.4171,1119152.1444,0.0027,informed_leaf_spine,0.2874,local_group_workload
0.8139,1.8221,0.7012,0.174,0.4854,20.8408,0.5747,2.5495,3.5495,1.4989,6631410.9957,0.8656,5.2259,2.9185,ospf_configuration,40,40960000.0,23540553.2518,0.316,0.8341,1234042.7982,0.0027,informed_leaf_spine,0.5747,local_group_workload
0.9226,0.7757,0.0057,0.0137,0.3585,32.9671,0.0779,4.8068,5.7793,0.0785,331092.1086,0.0215,0.0357,0.0564,eigrp_drill_configuration,2,24576000.0,1913709.5014,0.9686,1.2068,25611.2538,0.0522,fat_tree,0.0779,incast
0.9676,7.9637,0.031,0.0911,0.041,329.6711,0.7787,4.8068,5.7793,0.785,3310921.0858,0.0215,0.0359,0.4608,eigrp_drill_configuration,20,24576000.0,19137095.0139,0.9692,12.0696,107168.387,0.0522,fat_tree,0.7787,incast
0.1834,0.3725,0.4168,0.3267,0.8491,2.8018,0.7991,4.9334,5.9334,0.8067,3310044.1953,3.5212,5.5404,1.4528,eigrp_drill_configuration,20,24576000.0,19639662.0391,0.2771,0.3912,2702900.519,0.0004,fat_tree,0.7991,random_workload
0.0433,0.039,0.001,0.0003,0.8139,1.5806,0.0027,2.2771,3.2485,0.0045,20591.6892,0.2025,0.3458,0.0025,ospf_drill_configuration,1,24576000.0,66967.3822,0.9882,0.056,19699.1825,0.0564,informed_fat_tree,0.0027,incast
0.6625,0.9111,0.3662,0.0902,0.512,10.4204,0.2874,2.5495,3.5495,0.7494,3315705.4979,0.8602,4.6927,1.4592,eigrp_configuration,20,40960000.0,11770276.6259,0.316,0.4171,1119152.1444,0.0027,informed_leaf_spine,0.2874,local_group_workload
0.8139,1.8221,0.7012,0.174,0.4854,20.8408,0.5747,2.5495,3.5495,1.4989,6631410.9957,0.8656,5.2259,2.9185,eigrp_configuration,40,40960000.0,23540553.2518,0.316,0.8341,1234042.7982,0.0027,informed_leaf_spine,0.5747,local_group_workload
0.1563,0.3318,0.3661,0.0653,0.8371,2.3961,0.2874,2.5495,3.5495,0.7494,3315705.4979,3.5943,5.9365,1.4588,ospf_ecmp_configuration,20,40960000.0,11770276.6259,0.3148,0.4133,2797410.764,0.0006,informed_leaf_spine,0.2874,local_group_workload
0.5011,0.6635,0.7011,0.1557,0.881,4.7922,0.5747,2.5495,3.5495,1.4989,6631410.9957,4.116,6.6334,2.9175,ospf_ecmp_configuration,40,40960000.0,23540553.2518,0.3148,0.8266,3308578.4732,0.0006,informed_leaf_spine,0.5747,local_group_workload
0.1563,0.3269,0.3661,0.0653,0.8371,2.3961,0.2874,2.5495,3.5495,0.7494,3315705.4979,3.5943,5.9365,1.4588,eigrp_ecmp_configuration,20,40960000.0,11770276.6259,0.3148,0.4133,2797410.764,0.0006,informed_leaf_spine,0.2874,local_group_workload
0.5011,0.6539,0.7011,0.1501,0.881,4.7922,0.5747,2.5495,3.5495,1.4989,6631410.9957,4.116,6.6334,2.9175,eigrp_ecmp_configuration,40,40960000.0,23540553.2518,0.3148,0.8266,3308578.7056,0.0006,informed_leaf_spine,0.5747,local_group_workload
0.1563,0.3345,0.3661,0.0653,0.8371,2.3961,0.2874,2.5495,3.5495,0.7494,3315705.4979,3.5943,5.9365,1.4588,ospf_drill_configuration,20,40960000.0,11770276.6259,0.3148,0.4133,2797409.6495,0.0006,informed_leaf_spine,0.2874,local_group_workload
0.5011,0.669,0.7011,0.1611,0.881,4.7922,0.5747,2.5495,3.5495,1.4989,6631410.9957,4.116,6.6334,2.9175,ospf_drill_configuration,40,40960000.0,23540553.2518,0.3148,0.8266,3308575.1566,0.0006,informed_leaf_spine,0.5747,local_group_workload
0.1563,0.3284,0.3661,0.0653,0.8371,2.3961,0.2874,2.5495,3.5495,0.7494,3315705.4979,3.5943,5.9365,1.4588,eigrp_drill_configuration,20,40960000.0,11770276.6259,0.3148,0.4133,2797410.764,0.0006,informed_leaf_spine,0.2874,local_group_workload
0.5011,0.6567,0.7011,0.1516,0.881,4.7922,0.5747,2.5495,3.5495,1.4989,6631410.9957,4.116,6.6334,2.9175,eigrp_drill_configuration,40,40960000.0,23540553.2518,0.3148,0.8266,3308577.9228,0.0006,informed_leaf_spine,0.5747,local_group_workload
0.9476,1.5515,0.0065,0.0252,0.1628,65.9342,0.1557,4.8068,5.7793,0.157,662184.2172,0.0215,0.0358,0.1127,eigrp_drill_configuration,4,24576000.0,3827419.0028,0.9686,2.4137,34673.1575,0.0522,fat_tree,0.1557,incast
0.9701,16.1549,0.0467,0.0909,0.0309,659.3422,1.5574,4.8068,5.7793,1.57,6621842.1715,0.0215,0.0359,0.7548,eigrp_drill_configuration,40,24576000.0,38274190.0277,0.9697,24.1408,197787.424,0.0522,fat_tree,1.5574,incast
0.5289,0.7451,0.7833,0.7518,0.8962,5.6035,1.5983,4.9334,5.9334,1.6133,6620088.3906,3.9442,5.9855,2.9057,eigrp_drill_configuration,40,24576000.0,39279324.0781,0.2771,0.7824,3118457.7328,0.0004,fat_tree,1.5983,random_workload
0.0433,0.039,0.001,0.0003,0.8087,1.5806,0.0027,2.2771,3.2485,0.0045,20591.6892,0.1986,0.3444,0.0025,eigrp_drill_configuration,1,24576000.0,66967.3822,0.9882,0.056,19699.1825,0.0564,informed_fat_tree,0.0027,incast
0.1957,0.3784,0.4185,0.3217,0.8508,2.3961,0.8007,4.9353,5.9353,0.8081,3315705.4979,3.467,5.4651,1.4546,conga_configuration,20,24576000.0,19678447.4778,0.277,0.3917,2666732.2919,0.0004,fat_tree,0.8007,local_group_workload
0.9226,0.8516,0.0041,0.0026,0.1628,32.9671,0.0437,2.2682,3.2407,0.073,331092.1086,0.0215,0.0358,0.0141,conga_configuration,2,24576000.0,1073171.9774,0.9735,1.2271,25611.2538,0.093,informed_fat_tree,0.0437,incast
0.9676,8.5157,0.0053,0.0064,0.0309,329.6711,0.4367,2.2682,3.2407,0.7295,3310921.0858,0.0215,0.0359,0.1408,conga_configuration,20,24576000.0,10731719.7744,0.9735,12.271,107168.387,0.093,informed_fat_tree,0.4367,incast
0.0433,0.0353,0.001,0.0003,0.8139,1.5806,0.0037,3.4396,4.411,0.0047,20591.6892,0.2025,0.3458,0.0033,conga_configuration,1,24576000.0,90770.3057,0.9818,0.0551,19699.1825,0.0416,jellyfish,0.0037,incast
0.5395,0.7567,0.7835,0.7521,0.8957,4.7922,1.6014,4.9353,5.9353,1.6161,6631410.9957,3.8529,5.8921,2.9091,conga_configuration,40,24576000.0,39356894.9557,0.277,0.7834,3053908.4944,0.0004,fat_tree,1.6014,local_group_workload
0.9476,1.7031,0.0049,0.0028,0.0792,65.9342,0.0873,2.2682,3.2407,0.1459,662184.2172,0.0215,0.0359,0.0282,conga_configuration,4,24576000.0,2146343.9549,0.9735,2.4542,34673.1575,0.093,informed_fat_tree,0.0873,incast
0.9701,17.0313,0.0053,0.0114,0.0263,659.3422,0.8733,2.2682,3.2407,1.4591,6621842.1715,0.0215,0.0359,0.2815,conga_configuration,40,24576000.0,21463439.5488,0.9735,24.542,197787.424,0.093,informed_fat_tree,0.8733,incast
0.0433,0.0358,0.001,0.0003,0.8139,1.5806,0.0037,3.4396,4.411,0.0047,20591.6892,0.2025,0.3458,0.0032,rip_configuration,1,24576000.0,90770.3057,0.9833,0.0551,19699.1825,0.0416,jellyfish,0.0037,incast
0.9915,8.1082,0.3858,0.131,0.0411,327.315,0.8007,4.9353,5.9353,0.8081,3315705.4979,0.0207,0.035,1.4681,rip_configuration,20,24576000.0,19678447.4778,0.3841,2.4012,28055.4828,0.0522,fat_tree,0.8007,local_group_workload
